Name,Experiences,Skills,Educations,Disqualified,Total_Experience_Years
Candidate 28,Astor My Impact Windows at OOH Backoffice (Mar 2023 to Apr 2024)  | Ooh Manager at Elitgon (Aug 2014 to Mar 2016)  | Desarrollador Node.Js/Reactjs/Typescript at Ries (Jan 2012 to Jun 2014),"['software development', 'analytical skills', 'ruby on rails', 'amazon web services (aws)', 'docker products', 'application programming interfaces (api)']",None,Yes,5.08
Candidate 29,Senior Ruby at  (Jun 2023 to N/A)  | Senior Ruby and Rails Engineer at SIDEKICK FRANCHISE (May 2022 to Aug 2023)  | Remote at GoGet (Aug 2021 to Dec 2022)  | Backend Developer at Ruby on Rails Developer (Sep 2020 to Apr 2023)  | Rails Engineer at  (Sep 2017 to N/A),['ruby on rails'],None,Yes,13.92
Candidate 30,Assistant Community Manager at Kushner Companies (N/A to N/A)  | Portfolio Property Manager at Kushner Companies (N/A to N/A)  | Leasing Consultant at Morgan Properties (N/A to N/A),['none'],Bachelor of Arts Communications and Broadcast Journalism at Bloomfield College (N/A to Jul 2015),Yes,0.0
Candidate 31,Business Development Manager at Doble Via Latam (Jan 2015 to N/A)  | Sales Executive at Intag (Dec 2014 to Dec 2015)  | Customer Care Representative at Hewlett Packard (Mar 2013 to Mar 2015)  | Customer Care Representative at Amadeus (Apr 2012 to Mar 2013)  | Customer Counseling at International Customer Care (N/A to N/A),"['microsoft excel', 'english']",Bachelor Marketing and Business at University of Belgrano (Mar 2009 to Dec 2011),No,13.83
Candidate 32,Translator at UNC (N/A to N/A),['none'],None,No,0.0
Candidate 33,"Cloud Engineer at Amarello (Apr 2024 to N/A)  | Devops Enginner at hobops.io (Jan 2023 to Jun 2024)  | Devops Engineer and Developer at AT&T, México (Oct 2016 to Dec 2022)",['none'],"Ingeniería, Ingeniería Eléctrica, Electrónica Y De Comunicaciones at National Polytechnic Institute College of Engineering and Physical-Mathematic Sciences (Jan 2010 to Jan 2014)",No,8.25
Candidate 34,"Devops Engineer, Release Engineer and Automation Engineer at AstraZeneca (May 2021 to N/A)  | Devops Engineer and Release Engineer at AstraZeneca (Nov 2018 to Apr 2021)  | Software Developer at HCL Technologies (Mar 2018 to Nov 2018)  | Software Developer at Dextra Technologies (Aug 2017 to Feb 2018)  | Software Developer and Business Analyst at Amdocs (Apr 2016 to Aug 2017)  | Software Developer at Softtek (Jul 2015 to Mar 2016)  | Software Developer at Tata Consultancy Services (Nov 2013 to Jul 2015)",['none'],Bachelor of Science Computer Science at Universidad Tecnológica de Guadalajara ( UTEG ) (Jan 2010 to Jan 2014),No,10.83
Candidate 35,Lead Systems Engeenier at EPAM Systems (Feb 2024 to N/A)  | Devops Engineer at EPAM Systems (Jun 2022 to N/A)  | Devops Engineer at IBM (Nov 2021 to Jun 2022)  | Devops Engineer at Softtek (Oct 2019 to Nov 2021),['none'],"Computer Systems, Networking and Telecommunications at Universidad Politécnica del Estado de Durango (Jan 2016 to Jan 2020)",No,6.0
Candidate 36,Devops Engineer at DXC Technology (Jun 2022 to N/A)  | Devops Engineer at Dell Technologies (Apr 2019 to May 2022),['none'],High School Diploma  at Obuasi Senior High Technical School (N/A to May 2015),Yes,5.58
Candidate 37,Sales Development Representative at SOLVO GLOBAL (Jan 2023 to Feb 2024)  | Staff Augmentation at ITERUM BPO (Nov 2020 to Dec 2022)  | Cross Sales Agent at KM2 SOLUTIONS (Oct 2019 to Nov 2020),"['sales', 'market research', 'social media', 'lead generation', 'customer relationship management (crm)', 'business-to-business (b2b)', 'sales processes']",None,No,4.25
Candidate 38,Senior Cloud Architect at Repairify (Jun 2024 to N/A)  | Cloud Architect at Solera (Sep 2020 to Jan 2024)  | Technical Lead at Wipro (Apr 2018 to May 2020)  | Cloud Engineer at Softtek (May 2016 to Apr 2018)  | Database Engineer at Marlabs Software (Nov 2014 to May 2016),"['devops', 'amazon web services (aws)', 'docker products']",None,No,9.33
Candidate 39,Software Engineer at BRQ IT Solutions (Jan 2017 to Dec 2017)  | Senior Software Engineer at IBM (Jan 2017 to Dec 2020)  | Developer at Brave (Jan 2015 to Dec 2017)  | Staff Software Engineer at PicPay (N/A to N/A)  | Senior Software Engineer at Uber (N/A to N/A),"['ios', 'objective-c', 'swift (programming language)', 'sql']",Bachelor of Computer Science Computer Science at Federal University of Pelotas (N/A to N/A)  | Master Computer Science at Mackenzie Presbyterian University (N/A to N/A),Yes,7.75
Candidate 40,Cloud Engineer at McKinsey (Nov 2022 to N/A)  | Cloud Engineer at  (May 2020 to Oct 2022),['none'],Bachelor'S Law and Political Sciences at University of Dschang (N/A to N/A),Yes,4.5
Candidate 41,Software Engineer at Pagerduty (Sep 2023 to May 2024)  | Software Engineer at Potloc (Jan 2023 to Jul 2023)  | Software Engineer at AgendaPro (Jul 2021 to Dec 2022)  | Software Engineer at Optimal Workshop (Mar 2020 to Jun 2021)  | Software Engineer at Globant (Jun 2019 to Mar 2020)  | Software Engineer at AgendaPro (Oct 2018 to May 2019)  | Software Engineer at Buda.com (Oct 2017 to Sep 2018)  | Software Engineer at Groupon (Dec 2014 to May 2017)  | Software Engineer at Groupon (Sep 2012 to Dec 2012)  | Software Developer at Sumavisos (May 2012 to Sep 2012)  | Software Developer at Aycron (Sep 2011 to May 2012)  | Software Developer at Maypun (Jun 2011 to Sep 2011)  | Software Developer at Onuva (Jan 2011 to Mar 2011)  | Software Developer at SAIME (May 2010 to Dec 2010)  | Software Developer at Infoguía (Feb 2010 to Apr 2010)  | Information Technology Consultant at Essplan (Sep 2008 to Feb 2010),"['git', 'ruby', 'postgresql', 'ruby on rails', 'amazon web services (aws)', 'react.js']",None,Yes,12.33
Candidate 42,Aws Cloud Engineer at Verizon Wireless Systems (Aug 2020 to N/A)  | Aws Cloud Engineer at Hartford Financial Service Group (Mar 2018 to Jul 2020),['none'],Bachelor Computer Science at University of Buea (N/A to N/A),Yes,6.67
Candidate 43,Full Stack Developer at BlackBaud (Apr 2020 to N/A)  | Senior Software Engineer at  (Jun 2017 to Mar 2020)  | Associate Software Engineer at Alteryx (Aug 2014 to May 2017)  | Junior Full Stack Developer at OneTrust (Jan 2012 to Jul 2014)  | Software Developer Intern at Epic (Jun 2010 to Dec 2011),['none'],Master'S Computer Science at Stetson University (Jan 2013 to Dec 2015)  | Bachelor of Computer Science  at University of Central Florida (Jan 2007 to Dec 2011),Yes,14.17
Candidate 44,None,"['microsoft excel', 'english', 'communication']",Bachelor'S Management and Simulation at Business. El Bosque University (N/A to Dec 2020),Yes,0.0
Candidate 45,Full Stack Developer at YELP (Jan 2015 to Jun 2018)  | Software Engineer at CARTA (Jan 2006 to Dec 2010),['none'],Bachelor'S Software Engineering at Cleveland State University (N/A to N/A),Yes,8.33
Candidate 46,Lead Generator at Vesti Technology (Sep 2023 to N/A)  | Lead Generator at Hotbox Technology (Jan 2023 to Jan 2024)  | Sales Associate at Shtudy (Sep 2019 to Jan 2023)  | Marketing at Starrycare UK (Jan 2017 to Jun 2019),['none'],Bachelor of Arts English Language at Obafemi Awolowo University (Dec 2012 to Dec 2016),Yes,8.0
Candidate 47,Quality Assurance Engineer at Moduscreate (Jan 2019 to N/A)  | Automation Engineer at Securelink (Jan 2016 to Jan 2019)  | Quality Assurance Software Engineer at Ex2 Outcoding (Jan 2015 to Dec 2015)  | Quality Assurance Tech Analyst at Accenture (Jan 2012 to Jan 2014)  | Information Technology Consultant at Lanshire (Jan 2011 to Jan 2012)  | Software Developer at Netsoft (Jan 2011 to Jun 2011)  | System Engineer at Office of International Technical Cooperation (Jan 2010 to Jan 2011),"['software development', 'quality assurance', 'rest apis', 'object-oriented programming (oop)', 'qa automation']",Computer Engineering at Distance State University (Jan 2013 to Dec 2015)  | Bachelor Information Systems Engineering at National University of Costa Rica (Jan 2007 to Dec 2011),Yes,14.25
Candidate 48,Associate System Engineer at IBM India (Jan 2015 to Dec 2019),['none'],"Bachelor Electronics, Communication and Engineering at University of Calicut (Jan 2010 to Dec 2014)  | Aisse  at CBSE India (N/A to Dec 2008)  |   at AISSCE (Class XII (N/A to Dec 2010)",Yes,4.92
Candidate 49,Associate at Wiley Global Technology (Jun 2022 to N/A)  | Senior Quality Assurance Engineer at Intrepid Group (Sep 2020 to Jun 2022)  | Senior Quality Assurance Engineer at  (Mar 2013 to Apr 2020)  | Quality Assurance Engineer at Allion Technologies (Pvt) (Sep 2011 to Mar 2013)  | Associate Software Quality Assurance Engineer at Virtusa (Pvt) (Jul 2010 to Aug 2011),"['quality assurance', 'agile methodologies', 'product quality']",Bachelor of Science Information Technology at University of Moratuwa (Jan 2005 to Dec 2009)  | Certificate Quality Assurance at ISTQB (N/A to N/A),Yes,11.33
Candidate 50,General Operations Consultant at Inter-American Development Bank (Jul 2022 to Jul 2023)  | Quality Assurance at Routing (Sep 2021 to Jun 2022)  | Quality Assurance Automation Engineer at The Optimal Partner (N/A to N/A),['none'],Bachelor of Engineering Informatics at Universidad Mayor (N/A to N/A)  | Certificate Development at Laboratoria (N/A to N/A),Yes,1.75
Candidate 51,Sales Development Representative at TRINITYLOGISTICS (Jan 2021 to N/A)  | Business Development Representative at ALLIED LOGISTICS PARTNERS (Jan 2018 to Dec 2021),['none'],None,No,7.83
Candidate 52,None,['none'],Bachelor of Science Computer Science at University of Buea (N/A to N/A),Yes,0.0
Candidate 53,Quality Assurance Engineer at Coder house (Jan 2020 to Dec 2021)  | Analista Qa Sr at CPA ASSURE (Jan 2019 to Dec 2019)  | Analista Qa at JR (Jan 2018 to Dec 2019)  | Product at Coder House (N/A to N/A),"['quality assurance', 'javascript', 'microsoft azure', 'qa automation', 'react.js']",Education Digital Business and Administration at Dropped - Argentinean Business School (Jan 2023 to Dec 2023),Yes,4.75
Candidate 54,Quality Assurance Engineer at HCHK Technologies (Nov 2021 to N/A)  | Quality Assurance Analyst at Markit (Feb 2015 to Nov 2021)  | Software Test Engineer at CareFirst (Jun 2014 to Jan 2015)  | Software Test Engineer at JP Morgan Chase (Jan 2014 to May 2014),['none'],Bachelor of Science Computer Science at Mount Royal University (N/A to Nov 2013),Yes,10.75
Candidate 55,Senior Software Engineer at março de (Jan 2024 to N/A)  | Software Engineer at Ateliê de Software (N/A to N/A)  | Ruby on Rails Developer at Poços de Caldas (N/A to N/A)  | Assistente Técnico Em Redes at Botelhos (N/A to N/A)  | Software Engineer at Delivery Center (N/A to N/A)  | Desenvolvedor Web Júnior at Poços de Caldas (N/A to N/A)  | Desenvolvedor Full Stack at Poços de Caldas Area (N/A to N/A)  | Software Engineer at Sofi (N/A to N/A)  | Customer Support Analyst at Poços de Caldas (N/A to N/A),['none'],Bacharelado  at Pontifical Catholic University of Minas Gerais (Jan 2015 to Dec 2019),Yes,0.92
Candidate 56,Software Engineer at Red Hat (Mar 2021 to N/A)  | Software Engineer at HP (Jan 2020 to Mar 2021)  | Embedded Software Engineer at Luminator Technology Group (Dec 2018 to Dec 2019)  | Accounting Assistant at Escritório Confidenza (Apr 2013 to Nov 2018)  | Computer Maintenance at EBI Informática (Feb 2011 to Mar 2013),['none'],"Computer Science at Universidade do Vale do Rio dos Sinos (Jan 2020 to Jan 2023)  |  E-Business and Revolution at California State University, Northridge (Jan 2018 to Jan 2018)  |  Ciencia Da Computação, Ciência Da Computação at University of Caxias do Sul (Jan 2017 to Jan 2019)",Yes,13.58
Candidate 57,Líder Técnico at Bio Ritmo Academia (Oct 2018 to N/A)  | Proprietário at Vixbiz (N/A to N/A)  | Professor at Escola Contec (N/A to N/A)  | Analista De Sistemas at Netsimples (N/A to N/A),['none'],Bacharel Sistemas De Informação at Universidade de Vila Velha - UVV (Jan 2005 to Dec 2008)  | Iftl  at São Paulo State Technological College (N/A to N/A),Yes,6.17
Candidate 58,Quality Assurance Analyst Remote at Take2 It Consulting (Aug 2023 to N/A)  | Program Analyst Remote at CSSI (Jun 2023 to Jul 2023)  | Quality Assurance Analyst Remote at Take2 It Consulting (Oct 2021 to Jun 2023)  | Application Support Specialist Remote at Fannie Mae (Jul 2020 to Dec 2020),['none'],Bachelor'S Science and Computer Science at Virginia Commonwealth University (N/A to May 2019),Yes,3.5
Candidate 59,Tutors at Diploma in Management of Sports Entities (Jan 2023 to Jan 2024)  | Operations Coordinator at Pereira (Nov 2021 to Apr 2024),"['microsoft excel', 'communication', 'oral communication', 'interpersonal skills', 'business-to-business (b2b)', 'sales processes']",None,Yes,3.42
Candidate 60,Junior Sqa Engineer at Workpay (Jan 2023 to N/A)  | Mckinsey Forward Program at McKinsey Academy (N/A to N/A)  | Certified Public Accountant at Kenya Accountants and Secretaries National (N/A to N/A)  | Software Quality Assurance Intern at Workpay (N/A to N/A)  | Software Quality Assurance Intern at Portnov Computer School (N/A to N/A),['none'],Bachelor Accounting at Catholic University of Eastern Africa (N/A to Dec 2013),Yes,1.92
